datetime,user,server,filename
2020-11-01 08:24:49,Robert,srv_jasmin,file2134
2020-11-01 08:53:27,Frederick,srv_jasmin,file4321
2020-11-01 09:14:05,Philip,srv_jasmin,file2431
2020-11-01 09:16:24,Frederick,srv_g,file4312
2020-11-01 09:44:22,Henry,srv_smith,file1243
2020-11-01 10:14:27,Thomas,srv_g,file3124
2020-11-01 10:31:47,Frank,srv_jasmin,file1234
2020-11-01 10:49:14,Samuel,srv_g,file4231
2020-11-01 11:38:28,Joseph,srv_g,file3412
2020-11-01 12:29:31,Louis,srv_g,file3142
2020-11-01 13:38:02,Howard,srv_jasmin,file1234
2020-11-01 14:31:02,Alfred,srv_jasmin,file1324
2020-11-01 14:46:12,Frank,srv_jasmin,file3412
2020-11-01 15:14:22,George,srv_jasmin,file2341
2020-11-01 15:39:31,James,srv_g,file3124
2020-11-01 15:56:18,Richard,srv_e,file1423
2020-11-01 16:11:07,Charles,srv_jasmin,file2314
2020-11-01 16:13:00,Jesse,srv_jack,file2341
2020-11-01 19:11:05,Charles,srv_jasmin,file2314
2020-11-01 19:11:05,George,srv_jack,file3421
2020-11-02 00:02:08,Charles,srv_jasmin,file4132
2020-11-02 00:08:56,Louis,srv_g,file4123
2020-11-02 00:10:31,Walter,srv_jasmin,file3241
2020-11-02 00:16:04,Jesse,srv_jasmin,file4321
2020-11-02 00:17:02,Carl,srv_jasmin,file3142
2020-11-02 00:26:56,Clarence,srv_jasmin,file3124
2020-11-02 00:32:58,William,srv_jasmin,file3412
2020-11-02 00:37:57,Samuel,srv_g,file1324
2020-11-02 00:38:01,Robert,srv_g,file1324
2020-11-02 00:38:40,William,srv_jasmin,file4132
2020-11-02 00:42:13,Alfred,srv_g,file1423
2020-11-02 00:43:20,Samuel,srv_jack,file2431
2020-11-02 00:48:51,Tom,srv_jasmin,file1423
2020-11-02 01:05:24,Arthur,srv_scott,file1342
2020-11-02 01:06:07,Henry,srv_jasmin,file2143
2020-11-02 01:06:14,David,srv_jasmin,file2314
2020-11-02 01:11:05,Herman,srv_jasmin,file4231
2020-11-02 01:14:59,Joseph,srv_smith,file4231
2020-11-02 01:17:50,Albert,srv_g,file2134
2020-11-02 01:18:59,George,srv_jasmin,file3241
2020-11-02 01:24:43,Joseph,srv_g,file1243
2020-11-02 01:26:47,Clarence,srv_jasmin,file1432
2020-11-02 01:37:57,Charles,srv_jasmin,file4312
2020-11-02 01:44:44,Albert,srv_smith,file4231
2020-11-02 01:50:50,Joseph,srv_jasmin,file3421
2020-11-02 01:56:11,Tom,srv_g,file3214
2020-11-02 02:08:51,Harry,srv_g,file3214
2020-11-02 02:10:28,Robert,srv_smith,file1432
2020-11-02 02:11:42,Joseph,srv_g,file1243
2020-11-02 02:25:03,Harry,srv_jasmin,file2314
2020-11-02 02:52:11,Ben,srv_jack,file1324
2020-11-02 02:54:29,Arthur,srv_scott,file1423
2020-11-02 02:56:11,Jacob,srv_jasmin,file1243
2020-11-02 03:04:22,William,srv_jasmin,file3412
2020-11-02 03:05:56,James,srv_g,file2413
2020-11-02 03:09:42,James,srv_jack,file2143
2020-11-02 03:21:28,Joseph,srv_g,file1324
2020-11-02 03:22:10,Peter,srv_e,file3241
2020-11-02 03:23:09,David,srv_g,file1342
2020-11-02 03:31:17,David,srv_jasmin,file3241
2020-11-02 03:32:05,Guy,srv_g,file1423
2020-11-02 03:38:34,Frank,srv_jasmin,file1234
2020-11-02 03:39:33,Joseph,srv_jasmin,file1423
2020-11-02 03:41:29,Edward,srv_jasmin,file2134
2020-11-02 03:41:35,Otto,srv_jasmin,file2143
2020-11-02 03:43:53,Joseph,srv_jasmin,file1432
2020-11-02 03:44:23,George,srv_jasmin,file2413
